"CNPJ","NOME","PROJETO","DATA","VALOR (R$)"
"***.00.000/****-24","COMERSUL IMPORTACAO E EXPORTAC","1717 - CV - FUNCAP/FCPC-027/2006 - APOIO DE INFRA ESTRUTURA LABORATORIAL","28/04/2011","5.374,58"
"***.00.000/****-90","BANCO DO BRASIL","0101 - FCPC","29/12/2011","16.957,24"
"***.00.000/****-90","BANCO DO BRASIL","0101 - FCPC","30/11/2011","8.600,32"
"***.00.000/****-90","BANCO DO BRASIL","0101 - FCPC","28/11/2011","6.440,64"
"***.00.000/****-90","BANCO DO BRASIL","0101 - FCPC","10/11/2011","3.681,67"
"***.00.000/****-90","BANCO DO BRASIL","0101 - FCPC","10/11/2011","3.706,39"
"***.00.000/****-90","BANCO DO BRASIL","0101 - FCPC","31/10/2011","16.390,63"
"***.00.000/****-90","BANCO DO BRASIL","0101 - FCPC","31/10/2011","0,00"
"***.00.000/****-90","BANCO DO BRASIL","0101 - FCPC","16/09/2011","3.653,53"
"***.00.000/****-90","BANCO DO BRASIL","0101 - FCPC","31/08/2011","74.477,21"
"***.00.000/****-90","BANCO DO BRASIL","0101 - FCPC","17/08/2011","3.624,01"
"***.00.000/****-90","BANCO DO BRASIL","0101 - FCPC","01/08/2011","36.254,10"
"***.00.000/****-90","BANCO DO BRASIL","0101 - FCPC","01/07/2011","8.982,02"
"***.00.000/****-90","BANCO DO BRASIL","2156 - CV -  FUNCAP/FCPC - 10/2008 - TECNOLOGIA DA INFORMACAO","30/06/2011","0,00"
"***.00.000/****-90","BANCO DO BRASIL","0101 - FCPC","28/06/2011","3.554,63"
"***.00.000/****-90","BANCO DO BRASIL","0101 - FCPC","28/06/2011","3.530,44"
"***.00.000/****-90","BANCO DO BRASIL","0101 - FCPC","28/06/2011","3.549,72"
"***.00.000/****-90","BANCO DO BRASIL","0101 - FCPC","30/05/2011","5.635,76"
"***.00.000/****-90","BANCO DO BRASIL","0101 - FCPC","29/04/2011","7.470,19"
"***.00.000/****-90","BANCO DO BRASIL","0101 - FCPC","30/03/2011","6.256,95"
"***.00.000/****-90","BANCO DO BRASIL","0101 - FCPC","22/03/2011","2.508,39"
"***.00.000/****-90","BANCO DO BRASIL","0101 - FCPC","02/03/2011","0,00"
"***.00.000/****-90","BANCO DO BRASIL","0101 - FCPC","28/02/2011","30.981,37"
"***.00.000/****-90","BANCO DO BRASIL","0101 - FCPC","15/02/2011","3.485,54"
"***.00.000/****-90","BANCO DO BRASIL","1089 - RESCISAO CONTRATUAL","02/02/2011","1.230,72"
"***.00.000/****-90","BANCO DO BRASIL","0101 - FCPC","31/01/2011","7.743,55"
"***.00.062/****-70","FRANCISCO MAMEDE  ARAUJO BEZER","2688 - CT - UFC/FCPC - CAPACITACAO DE SERVIDORES DO MRE","16/12/2011","483,65"
"***.00.062/****-70","FRANCISCO MAMEDE  ARAUJO BEZER","2688 - CT - UFC/FCPC - CAPACITACAO DE SERVIDORES DO MRE","16/12/2011","913,50"
"***.00.062/****-70","FRANCISCO MAMEDE  ARAUJO BEZER","2688 - CT - UFC/FCPC - CAPACITACAO DE SERVIDORES DO MRE","16/12/2011","574,35"
"***.00.062/****-70","FRANCISCO MAMEDE  ARAUJO BEZER","2688 - CT - UFC/FCPC - CAPACITACAO DE SERVIDORES DO MRE","16/12/2011","28,50"
"***.00.062/****-70","FRANCISCO MAMEDE  ARAUJO BEZER","0101 - FCPC","15/12/2011","508,30"
"***.00.062/****-70","FRANCISCO MAMEDE  ARAUJO BEZER","1717 - CV - FUNCAP/FCPC-027/2006 - APOIO DE INFRA ESTRUTURA LABORATORIAL","14/12/2011","830,00"
"***.00.062/****-70","FRANCISCO MAMEDE  ARAUJO BEZER","2419 - CV -  04/2009 FUNCAP/FCPC - TECNOLOGIA E INOVACAO","14/12/2011","955,80"
"***.00.062/****-70","FRANCISCO MAMEDE  ARAUJO BEZER","2419 - CV -  04/2009 FUNCAP/FCPC - TECNOLOGIA E INOVACAO","14/12/2011","1.566,30"
"***.00.062/****-70","FRANCISCO MAMEDE  ARAUJO BEZER","2419 - CV -  04/2009 FUNCAP/FCPC - TECNOLOGIA E INOVACAO","14/12/2011","1.481,00"
"***.00.062/****-70","FRANCISCO MAMEDE  ARAUJO BEZER","2534 - CV - BNB/FCPC - REDE DE QUALIFICACAO SOCIAL: NUCLEO LAGAMAR","09/12/2011","530,21"
"***.00.062/****-70","FRANCISCO MAMEDE  ARAUJO BEZER","2668 - CV.BNB/UFC/FCPC - JOVENS E VIOLÃŠNCIA: DIAGNÃ“STICO PARTICIPATIVO DO MNICIPIO DE ITAITINGA/CE","09/12/2011","383,70"
"***.00.062/****-70","FRANCISCO MAMEDE  ARAUJO BEZER","1805 - CV -  FINEP/FCPC-SIMULACAO NUMERICA E AVAL. QUALITATIVA DE COMBUSTAO - O","02/12/2011","3.441,00"
"***.00.062/****-70","FRANCISCO MAMEDE  ARAUJO BEZER","2155 - CV -  FUNCAP/FCPC-09/2008 - PROGRAMA PRONEX","30/11/2011","1.500,00"
"***.00.062/****-70","FRANCISCO MAMEDE  ARAUJO BEZER","2155 - CV -  FUNCAP/FCPC-09/2008 - PROGRAMA PRONEX","30/11/2011","1.500,00"
"***.00.062/****-70","FRANCISCO MAMEDE  ARAUJO BEZER","2471 - CT -  UFC/FCPC - GRADUACAO EM LINGUA BRASILEIRA DE SINAIS","30/11/2011","412,00"
"***.00.062/****-70","FRANCISCO MAMEDE  ARAUJO BEZER","2153 - CV -  FUNCAP/FCPC - 07/2008 - PROGRAMA PRIMEIROS PROJETOS - PPP","29/11/2011","508,30"
"***.00.062/****-70","FRANCISCO MAMEDE  ARAUJO BEZER","2153 - CV -  FUNCAP/FCPC - 07/2008 - PROGRAMA PRIMEIROS PROJETOS - PPP","29/11/2011","508,30"
"***.00.062/****-70","FRANCISCO MAMEDE  ARAUJO BEZER","2446 - CT -  IFET/FCPC-CURSO FORM.CONT.EDUCACAO DE JOVENS E ADULTOS","21/11/2011","585,70"
"***.00.062/****-70","FRANCISCO MAMEDE  ARAUJO BEZER","2446 - CT -  IFET/FCPC-CURSO FORM.CONT.EDUCACAO DE JOVENS E ADULTOS","21/11/2011","8.382,30"
"***.00.062/****-70","FRANCISCO MAMEDE  ARAUJO BEZER","1717 - CV - FUNCAP/FCPC-027/2006 - APOIO DE INFRA ESTRUTURA LABORATORIAL","21/11/2011","1.042,70"
"***.00.062/****-70","FRANCISCO MAMEDE  ARAUJO BEZER","1717 - CV - FUNCAP/FCPC-027/2006 - APOIO DE INFRA ESTRUTURA LABORATORIAL","21/11/2011","351,40"
"***.00.062/****-70","FRANCISCO MAMEDE  ARAUJO BEZER","0101 - FCPC","18/11/2011","2.820,50"
"***.00.062/****-70","FRANCISCO MAMEDE  ARAUJO BEZER","0101 - FCPC","18/11/2011","3.501,50"
"***.00.062/****-70","FRANCISCO MAMEDE  ARAUJO BEZER","0101 - FCPC","18/11/2011","527,60"
"***.00.062/****-70","FRANCISCO MAMEDE  ARAUJO BEZER","2169 - CV -  FINEP/FCPC-GESTAO DAS AGUAS SEMI-ARIDO","16/11/2011","499,00"
"***.00.062/****-70","FRANCISCO MAMEDE  ARAUJO BEZER","2551 - CV. BNB/FCPC - PORTAL ECONOMETRIX","11/11/2011","444,10"
"***.00.062/****-70","FRANCISCO MAMEDE  ARAUJO BEZER","2551 - CV. BNB/FCPC - PORTAL ECONOMETRIX","11/11/2011","249,00"
