"CNPJ","NOME","PROJETO","DATA","VALOR (R$)"
"***.00.000/****-90","BANCO DO BRASIL","0101 - FCPC","30/12/2010","2.581,49"
"***.00.000/****-90","BANCO DO BRASIL","0101 - FCPC","02/12/2010","459,66"
"***.00.000/****-90","BANCO DO BRASIL","0101 - FCPC","01/12/2010","21.431,45"
"***.00.000/****-90","BANCO DO BRASIL","0101 - FCPC","30/11/2010","101,99"
"***.00.000/****-90","BANCO DO BRASIL","0101 - FCPC","03/11/2010","22.284,33"
"***.00.000/****-90","BANCO DO BRASIL","0101 - FCPC","29/09/2010","17.558,39"
"***.00.000/****-90","BANCO DO BRASIL","2099 - CT -  UFC/FCPC - CURSO DE ESP. EM TECNOLOGIAS DA INFORMACAO","27/09/2010","0,00"
"***.00.000/****-90","BANCO DO BRASIL","0101 - FCPC","27/09/2010","3.329,49"
"***.00.000/****-90","BANCO DO BRASIL","0101 - FCPC","27/09/2010","3.350,27"
"***.00.000/****-90","BANCO DO BRASIL","0101 - FCPC","27/09/2010","3.372,89"
"***.00.000/****-90","BANCO DO BRASIL","0101 - FCPC","30/08/2010","45.723,53"
"***.00.000/****-90","BANCO DO BRASIL","0101 - FCPC","29/07/2010","20.521,07"
"***.00.000/****-90","BANCO DO BRASIL","2121 - CV - ERICSSON/UFC/FCPC - TERMO ADITIVO 08/2008","29/07/2010","1.394,70"
"***.00.000/****-90","BANCO DO BRASIL","1514 - CV - FUNCAP/FCPC - 16/2005-DCR","16/07/2010","271,33"
"***.00.000/****-90","BANCO DO BRASIL","0101 - FCPC","28/06/2010","8.676,26"
"***.00.000/****-90","BANCO DO BRASIL","1717 - CV - FUNCAP/FCPC-027/2006 - APOIO DE INFRA ESTRUTURA LABORATORIAL","21/06/2010","303,97"
"***.00.000/****-90","BANCO DO BRASIL","0101 - FCPC","31/05/2010","18.227,47"
"***.00.000/****-90","BANCO DO BRASIL","0101 - FCPC","27/05/2010","3.292,14"
"***.00.000/****-90","BANCO DO BRASIL","0101 - FCPC","28/04/2010","26.344,54"
"***.00.000/****-90","BANCO DO BRASIL","0101 - FCPC","27/04/2010","3.272,15"
"***.00.000/****-90","BANCO DO BRASIL","0101 - FCPC","01/04/2010","9.467,62"
"***.00.000/****-90","BANCO DO BRASIL","0101 - FCPC","10/03/2010","3.256,63"
"***.00.000/****-90","BANCO DO BRASIL","0101 - FCPC","02/03/2010","19.840,52"
"***.00.000/****-90","BANCO DO BRASIL","0101 - FCPC","23/02/2010","3.239,27"
"***.00.000/****-90","BANCO DO BRASIL","0101 - FCPC","01/02/2010","13.397,64"
"***.00.000/****-90","BANCO DO BRASIL","0101 - FCPC","08/01/2010","3.220,07"
"***.00.000/****-90","BANCO DO BRASIL","0101 - FCPC","06/01/2010","13.855,10"
"***.00.062/****-70","FRANCISCO MAMEDE  ARAUJO BEZER","1478 - CT - PETROBRAS/FCPC-PROJETO DSOL","30/12/2010","2.000,00"
"***.00.062/****-70","FRANCISCO MAMEDE  ARAUJO BEZER","1478 - CT - PETROBRAS/FCPC-PROJETO DSOL","28/12/2010","4.232,80"
"***.00.062/****-70","FRANCISCO MAMEDE  ARAUJO BEZER","1992 - CT -  UFC/FCPC PROJETO BASICO DA FASE II DO UCA","25/11/2010","302,50"
"***.00.062/****-70","FRANCISCO MAMEDE  ARAUJO BEZER","2419 - CV -  04/2009 FUNCAP/FCPC - TECNOLOGIA E INOVACAO","25/11/2010","430,00"
"***.00.062/****-70","FRANCISCO MAMEDE  ARAUJO BEZER","2373 - CV -  SECULTFOR/FCPC-MAPEAMENTO CULTURAL DO M. DE FORTALEZA","12/02/2010","600,00"
"***.00.062/****-70","FRANCISCO MAMEDE  ARAUJO BEZER","2325 - CT -  GAIA/FCPC - DESENVOLVIMENTO DE SOFTWARE","12/02/2010","600,00"
"***.00.090/****-52","JBC- COM. DE PECAS PARA REFRIG","1478 - CT - PETROBRAS/FCPC-PROJETO DSOL","22/10/2010","1.584,00"
